山部、逆転でリオ切符　手負いの宿敵に攻め貫く　柔道全日本女子選手権	2016/4/18	産経新聞 東京本社版	608 語
活断層、想定超す動き　調査委	2016/4/18	産経新聞 東京本社版	1025 語
【近ごろ都に流行るもの】おしゃれカプセルホテル	2016/4/18	産経新聞 東京本社版	1190 語
知を楽しむ「考える人」リニューアル	2016/4/18	産経新聞 東京本社版	491 語
【プロ野球】ソフトバンク・吉村、同点＆サヨナラ弾　スランプ脱出	2016/4/18	産経新聞 東京本社版	513 語
谷井、３度目優勝　荒井２位　日本選手権５０キロ競歩	2016/4/18	産経新聞 東京本社版	490 語
被災地に勇気とエール　山下氏ら募金呼びかけ	2016/4/18	産経新聞 東京本社版	621 語
被災地に勇気とエール　緒方、雄姿届けた　準々決勝敗退も充実	2016/4/18	産経新聞 東京本社版	421 語
原油増産凍結の協議難航　サウジ　全加盟国参加を要求	2016/4/18	産経新聞 東京本社版	543 語
民進、急ぐ成果づくり　ヘイトスピーチ解消法案、あす審議入り	2016/4/18	産経新聞 東京本社版	785 語
【熊本地震】輸送網寸断、届かぬ物資	2016/4/18	産経新聞 東京本社版	672 語
ディーマジェスティ「３強」撃破　視界はダービー　競馬	2016/4/18	産経新聞 東京本社版	456 語
北、近く核実験強行か　韓国報道	2016/4/18	産経新聞 東京本社版	357 語
永野「不思議な力に背中押された」　東建ホームメイト・カップゴルフ	2016/4/18	産経新聞 東京本社版	516 語
永野３位　金庚泰、今季初Ｖ　東建ホームメイト・カップゴルフ	2016/4/18	産経新聞 東京本社版	400 語
移民対策、独首相を元首相批判　表現の自由でも板挟み	2016/4/18	産経新聞 東京本社版	728 語
全国で強風、風速３０メートル超　負傷者続出　足立区で工事の足場倒れる	2016/4/18	産経新聞 東京本社版	910 語
【プロ野球】ロッテ・高浜、勝ち越し打　「被災地、元気づけられたら」	2016/4/18	産経新聞 東京本社版	381 語
荒井、代表当確に涙　亡き母に捧ぐ　日本選手権５０キロ競歩	2016/4/18	産経新聞 東京本社版	402 語
【プロ野球】中日４−２阪神	2016/4/18	産経新聞 東京本社版	169 語
【熊本地震】トヨタ、工場の大半停止　国内、きょうから段階的に	2016/4/18	産経新聞 東京本社版	488 語
【選挙】１７日　千葉・茂原市長　田中豊彦氏が無投票で３選	2016/4/18	産経新聞 東京本社版	61 語
【熊本地震】余震、南西方向へ拡大	2016/4/18	産経新聞 東京本社版	647 語
【プロ野球】ヤクルト５−４ＤｅＮＡ	2016/4/18	産経新聞 東京本社版	153 語
【熊本地震】東海大生・大野睦さん、無言の搬出　友人「受け止められない」	2016/4/18	産経新聞 東京本社版	422 語
東京六大学野球は雨で順延	2016/4/18	産経新聞 東京本社版	105 語
列島強風２人死亡	2016/4/18	産経新聞 東京本社版	253 語
【米大リーグ】上原１回零封	2016/4/18	産経新聞 東京本社版	394 語
