title	keyword	ASTEXT(locations.geometry)
“ＪＡＺＺ”１００周年、名曲で　東京で来月、初公演	東京	POINT(35.7090259 139.7319925)
【ウェーブ産経】きもの装いの女王に東京の余語さん	東京	POINT(35.7090259 139.7319925)
【ウェーブ産経】ホテルオークラ東京・大使夫人のガーデニングに２０組招待	東京	POINT(35.7090259 139.7319925)
【選挙】１７日　東京・目黒区長　青木英二氏が４選	東京	POINT(35.7090259 139.7319925)
けいざいフラッシュ：東京・銀座にショールーム　ジェイテクト	東京	POINT(35.7090259 139.7319925)
ダニから身を守る　東京・葛飾で講演会	東京	POINT(35.7090259 139.7319925)
ルノワール展、２７日から東京で、「ムーラン・ド・ラ・ギャレット」など初公開。	東京	POINT(35.7090259 139.7319925)
「オバマ氏、広島訪問すべきだ」　ワシントン・ポスト社説	ワシントン	POINT(38.9071923 -77.0368707)
「オバマ氏、広島訪問すべきだ」　ワシントン・ポスト社説	広島	POINT(34.3852029 132.4552927)
「初心」村田が決めた　巨人２—１広島　プロ野球	広島	POINT(34.3852029 132.4552927)
【プロ野球】巨人２−１広島	広島	POINT(34.3852029 132.4552927)
【プロ野球】巨人６−５広島	広島	POINT(34.3852029 132.4552927)
【プロ野球】広島１０−１中日	広島	POINT(34.3852029 132.4552927)
【Ｊ１リーグ】第１Ｓ第７節（１５日）広島、暫定４位浮上	広島	POINT(34.3852029 132.4552927)
【Ｊ１リーグ】第１Ｓ第７節（１５日）広島１−０新潟	広島	POINT(34.3852029 132.4552927)
オバマ米大統領：広島訪問、米各紙が支持　「敬意表すべきだ」	広島	POINT(34.3852029 132.4552927)
サッカー：Ｊ１第１ステージ　広島１−０新潟	広島	POINT(34.3852029 132.4552927)
プロ野球　広島１０—１中日　新井、２０００安打あと９	広島	POINT(34.3852029 132.4552927)
プロ野球：巨人２−１広島　愚直に村田、決勝打	広島	POINT(34.3852029 132.4552927)
プロ野球：広島１０−１中日　丸、逆転２ラン	広島	POINT(34.3852029 132.4552927)
中日、今季初３連敗　広島１０—１中日　プロ野球	広島	POINT(34.3852029 132.4552927)
余録：核軍縮への新たな一歩を踏み出した被爆地・広島での…	広島	POINT(34.3852029 132.4552927)
「シルクロードと唐帝国」文庫本に　森安孝夫・阪大名誉教授	唐帝国	POINT(25.007845 121.4619399)
「フランスの風景樹をめぐる物語」展——近代風景画の進展を探る（アートライフ）	フランス	POINT(46.227638 2.213749)
【ウェーブ産経】ポーラ美術館のフランス「美の近代」に３組	フランス	POINT(46.227638 2.213749)
「ユニクロ」商品、セブンで受け取り、全国で１９日から。	全国	POINT(25.1394579 121.501191)
【地元ネタファイル】宮城　多賀城に全国３カ所目のツタヤ図書館	全国	POINT(25.1394579 121.501191)
全国で強風、風速３０メートル超　負傷者続出　足立区で工事の足場倒れる	全国	POINT(25.1394579 121.501191)
「リスクオン」日本にも——株、需給改善で楽観論浮上（スクランブル）	日本	POINT(36.204824 138.252924)
【大人の遠足】千葉・栄町「房総のむら」　日本の伝統文化、気軽に体験	日本	POINT(36.204824 138.252924)
【手帖】日本の制服がわかる“図鑑”	日本	POINT(36.204824 138.252924)
【日本よ　ふたたび】石原慎太郎　横綱の張り手	日本	POINT(36.204824 138.252924)
【科学】Ｘ線天文学に暗雲　衛星ひとみ、厳しい復旧　「日本のお家芸」に危機	日本	POINT(36.204824 138.252924)
おおさか維新　減税日本に合流打診　河村名古屋市長「難しい」	日本	POINT(36.204824 138.252924)
プロペラ機で日本に狙い　仏伊ＡＴＲ、短距離輸送でＭＲＪ補完	日本	POINT(36.204824 138.252924)
リオ五輪サッカー組み合わせ、初戦はナイジェリア、日本。	日本	POINT(36.204824 138.252924)
リオ五輪：サッカー男子　日本Ｂ組、強豪ぞろい　日本、コロンビア、スウェーデン監督の話	日本	POINT(36.204824 138.252924)
リオ五輪：サッカー男子　Ｂ組日本、１次突破へ最難関　ナイジェリア、コロンビア、スウェーデン	日本	POINT(36.204824 138.252924)
中国、大使呼び出しは日本のみ	日本	POINT(36.204824 138.252924)
中国で日本の介護用品をネット通販、現地政府系と日系５社が来月から、車いすやベッドなど。	日本	POINT(36.204824 138.252924)
北朝鮮、ミサイル発射失敗——日本への飛来「確認されず」、官房長官。	日本	POINT(36.204824 138.252924)
「ルノワール展」開催概要（日経からのお知らせ）	ルノワール展	POINT(48.8599614 2.3265614)
ルノワール展、２７日から東京で、「ムーラン・ド・ラ・ギャレット」など初公開。	ルノワール展	POINT(48.8599614 2.3265614)
「レコード店の日」ファン熱狂、渋谷の専門店、１５０人が列。	レコード店	POINT(39.7517952 140.0673121)
「レコード店の日」ファン熱狂、渋谷の専門店、１５０人が列。	渋谷	POINT(35.6617773 139.7040506)
「中国の古橋　悠久の時を超えて」榊晃弘著	中国	POINT(35.86166 104.195397)
「書店失踪、中国公安が関与」米人権報告　前支局長問題も指摘	中国	POINT(35.86166 104.195397)
ツガミ下方修正、純利益８３％減、前期、中国減速響く。	中国	POINT(35.86166 104.195397)
ナッツ類の国際価格急落、高値敬遠、中国など買い控え、国内卸値も一部で３割安。	中国	POINT(35.86166 104.195397)
ハウス食Ｇ１５％増益、中国でカレールウ好調、前期営業。	中国	POINT(35.86166 104.195397)
中国　国有企業改革に暗雲　１〜３月期ＧＤＰ６．７％増　７年ぶり低水準	中国	POINT(35.86166 104.195397)
中国、「豚のサイクル」再び（電子版＆ＮＩＫＫＥＩＡＳＩＡＮＲＥＶＩＥＷ）	中国	POINT(35.86166 104.195397)
中国、ミサイル発射に不快感。	中国	POINT(35.86166 104.195397)
中国、南シナ海に戦闘機派遣	中国	POINT(35.86166 104.195397)
中国、大使呼び出しは日本のみ	中国	POINT(35.86166 104.195397)
中国、６．７％成長に減速、１〜３月、７年ぶり低水準。	中国	POINT(35.86166 104.195397)
中国「成長なお高水準」、財政相、構造改革に意欲、Ｇ２０会議。	中国	POINT(35.86166 104.195397)
中国がトランプ氏批判	中国	POINT(35.86166 104.195397)
中国で日本の介護用品をネット通販、現地政府系と日系５社が来月から、車いすやベッドなど。	中国	POINT(35.86166 104.195397)
中国の弁護士、一時拘束　「パナマ文書」をネット上で紹介	中国	POINT(35.86166 104.195397)
中国・北京市、人権派弁護士の資格取り消し（ダイジェスト）	中国	POINT(35.86166 104.195397)
